StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q7,Q28,Q11,Q12,Q13,Q9,Q14,Q29,Q10_1,Q10_2,Q10_3,Q10_4,Q26_1,Q26_2,Q26_3,Q26_4,Q27_1,Q27_2,Q27_3,Q27_4,Q2,Q3,Q4,Q5,Q6,Q15,Q17,Q18,Q19,Q20
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please read the following information:


New chart shows China could overtake the U.S. as the world’s largest economy earlier than expected

 


	The latest GDP reports show that of the U.S. fell by 2.3% in 2020, while China’s grew by 2.3% amid the coronavirus pandemic.
	The divergence means China will likely overtake the U.S. as the world’s largest economy a few years earlier than anticipated, economists said.As an economic superpower, China poses a clear and imminent threat to the United States, which currently stands as the world's largest economy.



China is set to overtake the United States as the world’s largest economy a few years earlier than anticipated..., analysts said.

The U.S. reported last week that gross domestic product in 2020 contracted by 2.3% to $20.93 trillion in current-dollar terms, based on a preliminary government estimate.

In contrast, China said its GDP expanded by 2.3% last year to 101.6 trillion yuan. That’s about $14.7 trillion, based on an average exchange rate of 6.9 yuan per U.S. dollar, according to Wind Information data.

 





That puts China’s economy at only $6.2 trillion behind the U.S., down from $7.1 trillion in 2019.

“This (divergence in growth) is consistent with our view that the pandemic has been a much larger blow to the US economy than China’s economy,” Rob Subbaraman of Nomura said in an email Friday. “We believe that on reasonable growth projections the size of China’s economy in USD terms will overtake the US in 2028.”





Do you certify that you read the above text?","Please read the following information:

 

	
	The Chinese government is committing human rights violations consisting of mass detention, torture, and surveillance, while also challenging countries that criticize it. 
	
	
	China has said that the allegations against them are based on disinformation and lies. 
	
	
	Countries such as the US and UK have responded to human rights abuses taking place in China against the Uyghur population. 

	 
	


The Chinese government is committing crimes against humanity against Uyghurs and other Turkic Muslims in the northwest region of China known as Xinjiang, Human Rights Watch said in a report released in late April, 2021. The Chinese leadership is responsible for widespread and systematic policies of mass detention of Uyghurs and other minorities, torture, and cultural persecution, among other offenses. The systematic attacks against this population have included incidents of mass surveillance, cultural and religious erasure, separation of families, forced returns to China, forced labor, forced sterilization, and sexual violence.  



In a coordinated effort by the European Union, UK, US, and Canada, sanctions have been imposed on officials in China over rights abuses against the Uyghur minority group. The sanctions include travel bans and asset freezes, and target senior officials in Xinjiang. China responded with its own sanctions on European officials, and has denied the allegations of abuse, claiming the camps are “re-education” facilities used to combat terrorism. China said the sanctions were “based on nothing but lies and disinformation.” 



The Chinese Communist Party, worried that permitting political freedom would jeopardize its grasp on power, has constructed a sophisticated internet censorship system to monitor and suppress public criticism. Abroad, it uses its growing economic clout to silence critics and to carry out the most intense attack on the global system for enforcing human rights since that system began to emerge in the mid-20th century. 





In order to maintain and strengthen its control in the region, China targets Uyghurs, a Turkic ethnic group located in northwestern China, with severe human rights abuses.



Do you certify that you read the above text?",Are you ready to proceed to the next step?,"Please read the following information:
 
China's economy has been slowing for the better part of the past decade, but a recent run of poor data has prompted fresh concerns. What is making investors nervous, and how China has responded

 


	Over the last decade, China has experienced a massive and rapid decline in economic output.
	Internal disputes and international conflicts have put a serious dent in China's economic potential.
	A declining economy drastically reduces the threat that China poses to the United States.

 

The world's second-largest economy is expanding at its slowest pace since the early 1990s.

China saw industrial output grow at its slowest pace since 2002 in August.

Weeks later China's Premier Li Keqiang said it would not be easy for the country to sustain growth rates of above 6%.

 

Domestic issues, the US-led trade war, and swine fever are all putting a brake on China's rapid expansion.

 



 

""The slowdown in China is becoming quite significant,"" says Tommy Wu, senior Asia economist at Oxford Economics.

 

""Both the weakening in the domestic economy and deteriorating external environment, including both a global slowdown, and the US-China trade tensions, have a role to play in China's slowdown.""

Given China's importance in the global economy, and its healthy demand for anything from commodities to machinery, any downturn is likely to have far-reaching consequences.

 

Gary Hufbauer, of the Peterson Institute for International Economics, estimates that a one percentage point drop in Chinese growth would probably take 0.2 percentage points off global growth.



Do you certify that you read the above text?","Please read the following information:


 

	There is good reason to be optimistic that China will become a democracy when one looks at the trends of economic development, cultural change, political leadership trends, and the global environment.
	Intellectual leadership is moving toward liberalism, the traditional media are opening up, and the internet is becoming a cultural arena which the state is too clumsy to effectively conquer.
	The strength of the authoritarian regime in China is increasingly an illusion, and its resilience may not last much longer.

 

China cannot keep moving forward to the per capita income, educational, and informational levels of a middle-income country without experiencing the pressures for democratic change that Korea and Taiwan did more than two decades ago. China’s economy is growing rapidly and mainstream economists see little chance of it slowing down. Democratization has taken place in many economically successful countries including Brazil, Chile, and Spain, coinciding with the classical modernization theory which states that economic development eventually leads to democratization.
 

In regard to cultural evolution in China, Nottingham University’s Wang Zhengxu notes a clear generational shift, with those Chinese born after 1980 having significantly lower levels of trust in the government. Similarly, Tianjin Shi finds that “young people are more likely to endorse an understanding of democracy following the liberal democracy tradition.” Additionally, in recent years, a group of liberal opinion leaders has emerged in China, shifting the political views of more and more young and educated people. 
 

The transformation of traditional media is also contributing to democratization in the country. Despite increasing censorship, more and more newspapers and magazines are exhibiting liberal inclinations. The internet is becoming a tool for organizing political action, and the internet is fostering a general “social capital” which can cultivate a democratic attitude in the long run. 

A voter casts her ballot at a voting booth to elect new deputies for the local people's congress in Beijing, the capital of China (November, 2016).


Do you certify that you read the above text?","Please read the following excerpt, published on Jun 12, 2020:

____________________________________________________________________________

​​​​
China's military power may surpass the US's faster than you think, thanks to 3 shrewd strategies
 


	China's military arsenal, including nuclear weapons and long-range missiles, is rapidly increasing.
	New technology, including advances in artificial intelligence, allow China to infiltrate US security systems and gain access to classified military materials.
	Through it's use of unorthodox and unlawful practices, as well as its growing power and influence, China poses a clear military threat to the United States.

 

China's military power is quickly becoming the greatest threat to US military primacy. From posturing in the South China Sea to damaging hacking campaigns, the Chinese government is investing more time and resources into its military strategy, and it shows. 

 
1. The Chinese government is hacking its way to new technology.

 
By employing cyber attacks and hacking to steal US military technology, China is circumventing the long, painstaking research and development phase of weapons manufacturing.

 

In January and February of 2018, hackers working for the Chinese government were able to steal 614 gigabytes of information from a military contractor about a secretive US Navy project called Sea Dragon, intended to upgrade and improve current US weapons systems by introducing a ""disruptive offensive capability,"" The Washington Post reported.

 

There are many other known instances of Chinese security breaches; and even at high levels of classification and security, the US government has difficulty controlling the intrusions.


2. China is breaking down US systems.

 
China also works to break down US battlefield defenses. The US high-technology battlefield system — the so-called ""kill chain"" — is comprised of four grids that, working in concert, ""find, fix, and finish intended targets,"" according to the report.

 

The battlefield grids have to communicate with each other — and that's where China's strategy is focused on finding and exploiting vulnerabilities to jam the communication system, degrading an adversary's ability to strike in concert and, hopefully, make those strikes less effective. 



 
3. China hides its hand.

 
All these so-called ""offset"" strategies include some element of capability concealment, to suprise adversaries during battle. The US calls these ""black capabilities,"" kept under lock and key by military and state apparatus. While China may show off some of its capabilities, like the ""carrier-killer,"" as a deterrent, it keeps what some observers call ""Assassin's Mace"" or Project 995 weapons, secret. 

 

Work speculates that these ""black"" capabilities might include ""directed energy weapons, advanced space weapons, electromagnetic railguns, high-powered microwave weapons, or even more exotic arms.""




 

From 1996 to 2015, China increased its military spending by 620%.

 


Photo of a military parade at the People's Republic of China, via the New York Times.

____________________________________________________________________________



Do you certify that you read the above text?","Please read the following excerpts:



____________________________________________________________________________________

America's Awesome Military



The United States has the best military in the world today, by far. U.S. forces have few, if any, weaknesses, and in many areas—from naval warfare to precision-strike capabilities, to airpower, to intelligence and reconnaissance, to special operations—they play in a totally different league from the militaries of other countries. Nor is this situation likely to change anytime soon, as U.S. defense spending is three times as large as that of the United States’ closest competitor, China, and accounts for about one-third of all global military expenditures—with another third coming from U.S. allies and partners.
 

Is America's military the No.1 fighting force in the world?


...looking at other metrics directly related to a country’s war-making capabilities — like manpower, equipment, technology and weapons — the U.S. is not just keeping pace with the likes of China and Russia. Its huge financial firepower has translated into an arsenal and land, by sea and air war-making capabilities that aren't just the No. 1 in the world but No. 1 by a large margin.

The U.S. probably doesn’t rank No. 1 in the size of our military. Data from the International Institute for Strategic Studies put the U.S. at No. 3 in armed-forces personnel, behind population juggernauts China and India. But that says nothing of education, level of training or quality of those personnel.

The U.S. has a near monopoly on aircraft carriers, one of the greatest symbols of military power. Its carriers are about equal in number to those of the rest of the world combined — plus American carriers are more technologically advanced than virtually all others. Not to mention a new $13 billion aircraft carrier that’s about to hit the open seas.

And let’s not forget that decades after the arms race of the Cold War era, the U.S. is No. 1 in nukes. The U.S. has about 6,314 stockpiled and deployed nuclear warheads, according to data collected by the Arms Control Association. Russia comes close to matching that, at 6,082, but no other country breaks the 500 mark.

The U.S.’s tentacles spread far and wide around the globe: It is judged to have more foreign military bases than any other people, nation or empire in history has had.

A report by Credit Suisse in September 2015 ranked countries according to a “military strength indicator,” and the U.S. came out No. 1, handily beating out Russia at No. 2 and China at No. 3. Credit Suisse said in the report that the U.S.’s fleet of 13,900 aircraft, 920 attack helicopters, 20 aircraft carriers and 72 submarines far outweighs the military might of any of its close rivals.



The Reasons Why the U.S. Remains the World's Only Superpower



Military: America’s military superiority remains unrivaled—full stop. The US accounts for 37% of global military spending, and spends more than four times what China, the world’s No. 2 spender, does on its military. The U.S. dominates across land, sea, air and space. America’s Middle East misadventures gave the U.S. military a black eye, but the wars in Iraq and Afghanistan speak more to the changing nature of warfare than declining U.S. military superiority. Terrorists and guerilla fighters give conventional military powers fits by design. The U.S. must ultimately learn to scale down to better meet those challenges. Nevertheless, while conventional military strength might not deter terrorists, it still does a terrific job of deterring hostile nations.



Innovation: Of the 9 largest tech companies in the world, 8 are based in the U.S. Give the growing importance of the technology sector, that’s a big deal. For decades America worried about energy dependency, yet today America is the world’s No. 1 producer of oil and natural gas, in large part due to the development of hydraulic fracturing, a product of public research and private energy. America’s research universities and scientific institutions are best in class, allowing the nation to focus its ingenuity where it’s needed most. And America is spending the money to keep its comparative advantage intact: 30% of all research and development dollars are spent in the U.S.



 

Military spending in U.S. dollars in 2018 per country. Data courtesy of the World Bank.

____________________________________________________________________________________



Do you certify that you read the above text?","Please read the following information:

 

	With China as the world’s biggest carbon emitter, followed by the United States, some say their cooperation is key to a success of global efforts to curb climate change. 
	Climate cooperation between the US and China is desperately needed from a global perspective, and there are concerns that this collaboration may be negatively impacted by other areas of the relationship.
	The two countries released a joint statement outlining their commitment to cooperate to tackle the climate crisis. 




US climate envoy John Kerry and China’s special envoy for climate change Xie Zhenhua released a statement on April 18, 2021 that said “the United States and China are committed to cooperating with each other and with other countries to tackle the climate crisis, which must be addressed with the seriousness and urgency that it demands.” The joint statement listed multiple avenues of cooperation between the US and China, the world’s top two economies that together account for nearly half of the greenhouse gas emissions responsible for climate change.  



US President Joe Biden has pledged that the US will switch to an emissions-free power sector within fourteen years, and have an entirely emissions-free economy by 2050. China’s President Xi Jinping announced last year that China would be carbon-neutral by 2060, and pledged in March to reduce carbon emissions per unit of economic output by 18% over the next five years. 



Xi stated in a video meeting with German and French leaders that climate change “should not become a geopolitical chip, a target for attacking other countries, or an excuse for trade barriers,” but he did call for closer cooperation on the issue.  









​​​​​​​The US and China must cooperate on climate change policy to ensure the success of global efforts to tackle the climate crisis.



Do you certify that you read the above text?",Click to write the question text - Human rights abuses in China concern me.,Click to write the question text - I am confident that China will be able to handle allegations of human rights abuses against them without US or international intervention.,"Click to write the question text - The widely reported internment of Muslim Uyghurs and other ethnic minorities in China, which has been termed a genocide by human rights groups, has led to the emergence of a boycott of the 2022 Beijing Olympics. China reported that they will punish countries that boycott the Games with political sanctions and commercial retaliation, therefore impacting international trade.



American companies should boycott the Beijing Olympics.",Click to write the question text - I believe the US should invest money and resources in promoting human rights in China.,Click to write the question text - China's economic growth concerns me.,"Click to write the question text - U.S. sanctions on China affect both countries. As a result of recent sanctions, Americans lost an estimate 0.3% of real GDP, equivalent to nearly 300,000 jobs. These sanctions were estimated to negatively impact China's economy by hundreds of billions of dollars.



I believe that the benefits of placing sanctions on China outweigh the costs.",Click to write the question text - I am willing to spend more on an item that was not made in China.,"Click to write the question text - If forced to pick between the two, I think that it is more important for the U.S. to develop a good relationship with China than for the U.S. to prioritize staying ahead of China.",Click to write the question text - China's military and technological advances concern me.,Click to write the question text - The U.S. should invest resources into developing international cybersecurity regulations to limit cyber threats from foreign nations.,"Click to write the question text - Currently, the U.S. has more than one hundred thousand troops in the Asia-Pacific region and several military bases in Korea, Japan and Guam. China has expressed opposition to extensive U.S. military presence in the region, taking retaliatory economic action against the U.S. and its allies.



The U.S. should reduce its military presence near China, in order to try to improve relations with China.",Click to write the question text - I believe that the U.S. should invest less resources into military and defense.,What is your age?,What income bracket are you in?,What is your education level?,What is your ethnicity?,What is your political affiliation?,How politically involved are you?,"These questions are designed to get a better understanding of your knowledge of politics and government. Please refrain from using external sources when answering these questions. Thank you!

Please type and answer for the following question. If you don't know the answer, please type, ""I don't know."" 

Question:  Which party currently controls the House of Representatives?","Please type and answer for the following question. If you don't know the answer, please type, ""I don't know."" Question:  How long is a senator's term?","Please type and answer for the following question. If you don't know the answer, please type, ""I don't know.""
 

Question:  Name three presidents of foreign countries.","Please type and answer for the following question. If you don't know the answer, please type, ""I don't know.""
 

Question:  What does TPP stand for?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7""}","{""ImportId"":""QID29""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID9""}","{""ImportId"":""QID14""}","{""ImportId"":""QID30""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_14""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID26_2""}","{""ImportId"":""QID26_3""}","{""ImportId"":""QID26_4""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID27_4""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21_TEXT""}"
5/25/21 11:43,5/25/21 11:44,IP Address,98.193.122.3,100,83,TRUE,5/25/21 11:44,R_3s5KHcfvA2FpPaN,,,,,42.26449585,-88.00340271,anonymous,EN,,,,,Yes,,,,Strongly Agree,Somewhat agree,Strongly Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,35 - 44,"$20,000 - $29,999",Professional degree,Black or African American,Independent,Moderately involved,JERY,5M,"CA,TX,CL",CA
5/25/21 11:42,5/25/21 11:44,IP Address,24.125.203.214,100,136,TRUE,5/25/21 11:44,R_w7CzY68MOAvhiIp,,,,,34.25030518,-85.14430237,anonymous,EN,,Yes,,,,,,,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,35 - 44,"$10,000 - $19,999",2 year degree,White,Independent,Moderately involved,Democrats,6 years,"Boris Johnson, Justin Trudeau, Putin",Trans pacific partnership
5/25/21 11:42,5/25/21 11:44,IP Address,179.178.46.125,100,151,TRUE,5/25/21 11:44,R_3fMMQAA4AnfIuoK,,,,,-7.113998413,-34.86050415,anonymous,EN,,,,,,,,Yes,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,25 - 34,"$10,000 - $19,999",4 year degree,Other,Republican,Neutral,I don't know,I don't know,I don't know,I don't know
5/25/21 11:42,5/25/21 11:44,IP Address,63.75.243.43,100,134,TRUE,5/25/21 11:44,R_3nejFccmI4pASoQ,,,,,42.58360291,-83.49890137,anonymous,EN,,,,,,,,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,35 - 44,"$100,000 - $149,999",4 year degree,White,Democrat,Moderately involved,democorate,5,no,I don't know.
5/25/21 11:42,5/25/21 11:44,IP Address,99.56.2.109,100,138,TRUE,5/25/21 11:44,R_2X6VVFA544QnLu2,,,,,33.97329712,-84.22309875,anonymous,EN,,Yes,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,18 - 24,"$20,000 - $29,999",4 year degree,Asian,Democrat,Moderately involved,Republican,8 years,I don't know,I don't know
5/25/21 11:42,5/25/21 11:45,IP Address,45.87.61.12,100,162,TRUE,5/25/21 11:45,R_2aRl7T6ns37hrxf,,,,,33.95599365,-118.3887024,anonymous,EN,,,,Yes,,,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,25 - 34,"$90,000 - $99,999",4 year degree,White,Democrat,Moderately involved,DEMOCRATES,6 YEARS,I don't know.,I don't know.
5/25/21 11:42,5/25/21 11:45,IP Address,68.104.3.40,100,193,TRUE,5/25/21 11:45,R_3sjG49Xhl80QaAm,,,,,36.27090454,-115.2799988,anonymous,EN,,,,,Yes,,,,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,18 - 24,"$70,000 - $79,999",Some college,White,Republican,Not very involved,Democrat,2,"Putin, Kim Jong-un, Justin Treadu",I don't know
5/25/21 11:42,5/25/21 11:45,IP Address,172.107.181.28,100,185,TRUE,5/25/21 11:45,R_pG9ItRFeaZWy3AZ,,,,,32.81370544,-96.87039948,anonymous,EN,,,,,Yes,,,,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly Agree,25 - 34,"$70,000 - $79,999",Professional degree,White,Democrat,Highly involved,CHINA,U.S,"Ashraf Ghani,Ilir Meta,Abdelmadjid Tebboune","Technology, IT etc (11) TPP — The Paradise Project. TPP — The Phat Phree. TPP — The Pretty Ponies. TPP — Third Party Producer."
